,ID,Mesto,Okres,Druh,Stav,Ulica,Vytah,Ener_cert,Uzit_plocha,Latitude,Longitude,Cena,Rok_vystavby,Podlazie,Pocet_nadzem_podlazi,Lodzia,Balkon,Garazove_statie,Kurenie,Garaz
1621,nehnutelnosti.sk_3876567,Bratislava I - Stare Mesto,okres Bratislava,Apartman,Kompletná rekonštrukcia,Palisady,Ano,,46,48.1462172,17.0993043,224000,,,,,,,,
1622,nehnutelnosti.sk_3992521,Bratislava V - Petrzalka,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Turnianska,Ano,,68,48.0966852,17.1130926,179900,,5,8,,Ano,,,
1623,nehnutelnosti.sk_3923693,Bratislava III - Nove Mesto,okres Bratislava,3 izbovy byt,Novostavba,Bajkalska,Ano,,87,48.1542939,17.1455133,290000,,17,,,Ano,,,
1624,nehnutelnosti.sk_3661594,Bratislava II - Ruzinov,okres Bratislava,4 izbovy byt,Novostavba,Hrachova,Ano,,97,48.1464766,17.1801097,248000,,4,,,Ano,,,
1625,nehnutelnosti.sk_4177772,Bratislava II - Ruzinov,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Muskatova,Ano,,68,48.1509525,17.1587467,189000,,7,,,Ano,,,
1626,nehnutelnosti.sk_3901765,Bratislava II - Ruzinov,okres Bratislava,2 izbovy byt,Kompletná rekonštrukcia,Rumancekova,Ano,,53,48.1506909,17.155563,157000,,,,,,,,
1627,nehnutelnosti.sk_4200944,Bratislava V - Petrzalka,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Osuskeho,Ano,,73,48.1182895,17.1141828,177000,,7,12,,Ano,,,
1628,nehnutelnosti.sk_4216945,Bratislava V - Petrzalka,okres Bratislava,2 izbovy byt,Novostavba,Udernicka,Ano,,63,48.1219079,17.095392,197000,,4,,,Ano,,,
1629,nehnutelnosti.sk_3847835,Bratislava III - Nove Mesto,okres Bratislava,1 izbovy byt,Novostavba,Bajkalska,Ano,,27,48.1542939,17.1455133,109000,,3,,,Ano,,,
1630,nehnutelnosti.sk_3785422,Bratislava V - Petrzalka,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Furdekova,Ano,,77,48.1229744,17.1204339,178000,,3,,,Ano,,,
1631,nehnutelnosti.sk_3885181,Bratislava I - Stare Mesto,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Kupelna,,,77,48.1409986,17.1118073,340000,,2,,,Ano,,,
1632,nehnutelnosti.sk_4209839,Bratislava II - Ruzinov,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Ostredkova,,,63,48.1611724,17.1701462,193000,,1,,,Ano,,,
1633,nehnutelnosti.sk_3886566,Bratislava III - Nove Mesto,okres Bratislava,3 izbovy byt,Novostavba,Tupeho,Ano,,78,48.1638925,17.1167408,325000,,2,,,Ano,,,
1634,nehnutelnosti.sk_3962210,Bratislava I - Stare Mesto,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Prazska,Ano,,81,48.161722,17.0996899,239000,,3,,,Ano,,,
1635,nehnutelnosti.sk_4201903,Bratislava II - Ruzinov,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Hranicna,Ano,,83,48.1459459,17.1597672,240000,,5,,,Ano,,,
1636,nehnutelnosti.sk_4202276,Bratislava V - Petrzalka,okres Bratislava,1 izbovy byt,Kompletná rekonštrukcia,Mamateyova,Ano,,36,48.1219533,17.129756,127000,,9,,,,,,
1637,nehnutelnosti.sk_4187762,Bratislava II - Ruzinov,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Sklenarova,Ano,,71,48.1503468,17.1459938,186000,,5,,,Ano,,,
1638,nehnutelnosti.sk_4171972,Bratislava V - Petrzalka,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Sevcenkova,Ano,,73,48.1200599,17.1036655,181990,,3,12,,Ano,,,
1639,nehnutelnosti.sk_4069785,Bratislava V - Petrzalka,okres Bratislava,4 izbovy byt,Kompletná rekonštrukcia,Lachova,Ano,,86,48.1248912,17.1183061,212000,,4,,,Ano,,,
1640,nehnutelnosti.sk_4181144,Bratislava V - Petrzalka,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Osuskeho,Ano,,74,48.1182895,17.1141828,188000,,5,,,Ano,,,
1641,nehnutelnosti.sk_4196838,Bratislava V - Petrzalka,okres Bratislava,3 izbovy byt,Novostavba,Udernicka,Ano,,71,48.1219079,17.095392,195000,,2,,,Ano,,,
1642,nehnutelnosti.sk_4176535,Bratislava II - Ruzinov,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Bajzova,Ano,,79,48.1592861,17.1388097,267000,,7,,,Ano,,,
1643,nehnutelnosti.sk_4201987,Bratislava I - Stare Mesto,okres Bratislava,3 izbovy byt,Novostavba,Tovarenska,Ano,,83,48.1447573,17.1245426,435000,,4,,,Ano,,,
1644,nehnutelnosti.sk_3952897,Bratislava II - Ruzinov,okres Bratislava,2 izbovy byt,Čiastočná rekonštrukcia,Dulovo namestie,,,61,48.1498849,17.134533,183000,,,,,,,,
1645,nehnutelnosti.sk_4089217,Bratislava III - Nove Mesto,okres Bratislava,2 izbovy byt,Čiastočná rekonštrukcia,Sunavcova,,,69,48.1636526,17.1222468,183000,,2,,,Ano,,,
1646,nehnutelnosti.sk_4213306,Bratislava II - Podunajske Biskupice,okres Bratislava,1 izbovy byt,Novostavba,Vrakunska,Ano,,35,48.1371123,17.1993069,96900,2010,2,13,,Ano,,,
1647,nehnutelnosti.sk_4197707,Bratislava V - Petrzalka,okres Bratislava,4 izbovy byt,Kompletná rekonštrukcia,Mamateyova,,,80,48.1219533,17.129756,200000,,3,4,,Ano,,,
1648,nehnutelnosti.sk_3911525,Bratislava V - Petrzalka,okres Bratislava,2 izbovy byt,Kompletná rekonštrukcia,Budatinska,Ano,,58,48.1060961,17.1006947,151000,,4,,,Ano,,,
1649,nehnutelnosti.sk_4109882,Bratislava V - Petrzalka,okres Bratislava,4 izbovy byt,Kompletná rekonštrukcia,Halova,Ano,,88,48.1208712,17.1060633,239000,,5,,,Ano,,,
1650,nehnutelnosti.sk_3893524,Bratislava I - Stare Mesto,okres Bratislava,1 izbovy byt,Čiastočná rekonštrukcia,Ulica 29. augusta,,,30,48.1469185,17.1232277,125000,,4,,,,,,
1651,nehnutelnosti.sk_4120940,Bratislava V - Petrzalka,okres Bratislava,3 izbovy byt,Novostavba,Zlta,Ano,,64,48.0876995,17.1264464,233000,,2,,,Ano,,,
1652,nehnutelnosti.sk_4123486,Bratislava V - Petrzalka,okres Bratislava,2 izbovy byt,Novostavba,Namestie Hraniciarov,Ano,,70,48.1224336,17.1164016,177000,,3,,,Ano,,,
1653,nehnutelnosti.sk_4146373,Bratislava III - Nove Mesto,okres Bratislava,2 izbovy byt,Čiastočná rekonštrukcia,Ceskoslovenskych parasutistov,,,64,48.1719127,17.1297544,185000,,1,,,Ano,,,
1654,nehnutelnosti.sk_4118703,Bratislava III - Nove Mesto,okres Bratislava,2 izbovy byt,Pôvodný stav,Desiata,Ano,,63,48.173058,17.1045415,165000,,,,,,,,
1655,nehnutelnosti.sk_4069809,Bratislava V - Petrzalka,okres Bratislava,2 izbovy byt,Novostavba,Zaporozska,Ano,,53,48.1261431,17.0973355,188000,,2,,,Ano,,,
1656,nehnutelnosti.sk_4015684,Bratislava V - Petrzalka,okres Bratislava,Dvojgarsonka,Kompletná rekonštrukcia,Namestie Hraniciarov,Ano,,37,48.1224336,17.1164016,134000,,3,,,,,,
1657,nehnutelnosti.sk_4140861,Bratislava IV - Karlova Ves,okres Bratislava,2 izbovy byt,Čiastočná rekonštrukcia,Pupavova,,,46,48.1636214,17.0481638,150000,,,4,,,,,
1658,nehnutelnosti.sk_4179964,Bratislava I - Stare Mesto,okres Bratislava,2 izbovy byt,Kompletná rekonštrukcia,Sladkovicova,,,64,48.1494184,17.1059444,242000,,2,,,Ano,,,
